users,tasks,opr
100,40,0.05742574257425743
150,40,0.04073319755600815
200,40,0.03497942386831276
250,40,0.020618556701030927
300,40,0.018633540372670808
350,40,0.012474012474012475
400,40,0.008333333333333333
450,40,0.00625
500,40,0.004166666666666667
550,40,0.0020833333333333333
600,40,0.0020833333333333333
650,40,0.0020833333333333333
700,40,0.0
750,40,0.0
800,40,0.0
850,40,0.0
900,40,0.0
950,40,0.0
